latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.2214413,-75.47659,1493.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2016-01-19,28.1,14.9,0.00
2016-01-20,28.6,14.7,0.00
2016-01-21,27.1,16.8,0.70
2016-01-22,27.8,17.0,1.30
2016-01-23,28.3,17.6,0.50
2016-01-24,27.4,17.6,0.40
2016-01-25,28.0,17.3,1.10
2016-01-26,28.4,16.1,1.30
2016-01-27,29.3,17.2,0.60
2016-01-28,29.0,16.3,0.00
2016-01-29,27.1,16.9,8.90
2016-01-30,28.3,15.3,0.20
2016-01-31,28.4,15.1,0.40
2016-02-01,28.1,17.0,0.00
2016-02-02,29.7,15.8,0.10
2016-02-03,28.6,17.4,0.20
2016-02-04,28.0,17.0,1.10
2016-02-05,26.1,17.4,12.20
2016-02-06,28.8,15.8,0.00
2016-02-07,28.0,16.1,0.00
2016-02-08,27.9,17.2,1.60
2016-02-09,28.2,17.0,0.00
2016-02-10,29.1,16.1,0.10
2016-02-11,28.8,18.0,0.00
2016-02-12,28.9,17.2,1.20
2016-02-13,26.8,18.5,5.90
2016-02-14,27.4,17.2,0.00
2016-02-15,28.1,17.1,0.00
2016-02-16,30.0,17.2,0.00
2016-02-17,27.8,18.5,7.80
2016-02-18,30.2,16.2,0.30
2016-02-19,28.3,17.8,0.50
2016-02-20,28.4,17.5,6.80
2016-02-21,23.1,17.9,19.40
2016-02-22,26.4,17.7,8.70
2016-02-23,27.8,17.6,2.80
2016-02-24,27.1,16.8,2.20
2016-02-25,26.7,16.7,8.10
2016-02-26,27.1,15.8,0.70
2016-02-27,28.2,18.0,5.90
2016-02-28,26.2,19.1,5.50
2016-02-29,27.0,16.3,4.00
2016-03-01,27.3,17.1,4.00
2016-03-02,26.3,18.0,5.30
2016-03-03,26.5,16.8,1.90
2016-03-04,25.0,17.8,4.80
2016-03-05,27.3,16.9,8.50
2016-03-06,25.2,17.4,8.60
2016-03-07,25.1,15.9,7.30
2016-03-08,26.4,15.4,1.60
2016-03-09,27.2,15.2,11.60
2016-03-10,26.5,16.2,5.50
2016-03-11,26.8,15.8,2.40
2016-03-12,26.4,16.2,2.40
2016-03-13,25.9,15.6,3.90
2016-03-14,26.1,17.5,3.40
2016-03-15,27.3,17.4,2.20
2016-03-16,27.9,17.1,8.50
2016-03-17,25.7,17.5,3.00
2016-03-18,26.8,16.8,3.60
2016-03-19,27.8,16.9,1.50
2016-03-20,27.1,16.9,1.50
2016-03-21,27.9,16.0,0.40
2016-03-22,28.2,17.0,0.40
2016-03-23,29.5,16.9,0.00
2016-03-24,29.2,16.7,0.00
2016-03-25,29.5,17.1,0.00
2016-03-26,29.7,18.0,0.00
2016-03-27,26.4,18.2,2.60
2016-03-28,26.8,16.9,16.80
2016-03-29,27.3,16.2,3.00
2016-03-30,27.2,17.0,4.90
2016-03-31,25.0,16.8,2.30
2016-04-01,26.2,16.6,3.60
2016-04-02,24.1,17.2,9.70
2016-04-03,23.1,16.4,40.00
2016-04-04,25.5,15.4,6.80
2016-04-05,24.2,16.6,6.20
2016-04-06,27.1,16.7,5.10
2016-04-07,25.4,17.5,4.20
2016-04-08,27.1,17.4,1.30
2016-04-09,25.7,17.0,3.40
2016-04-10,26.3,16.8,6.70
2016-04-11,24.2,16.5,2.60
2016-04-12,20.3,17.3,14.80
2016-04-13,23.5,16.6,8.30
2016-04-14,25.3,17.4,1.20
2016-04-15,27.2,16.9,0.10
2016-04-16,25.7,17.4,6.50
2016-04-17,25.3,17.8,7.80
2016-04-18,26.9,16.8,5.10
2016-04-19,26.4,16.0,2.70
2016-04-20,26.2,16.8,4.20
2016-04-21,26.6,15.6,1.20
2016-04-22,27.0,16.4,6.00
2016-04-23,26.1,16.5,16.30
2016-04-24,23.1,16.7,11.80
2016-04-25,25.1,16.9,8.90
2016-04-26,24.8,17.1,14.90
2016-04-27,20.8,17.4,39.10
2016-04-28,23.7,16.4,19.40
2016-04-29,24.6,16.1,3.30
2016-04-30,24.7,16.5,15.70
2016-05-01,24.1,16.9,52.10
2016-05-02,19.9,16.8,33.90
2016-05-03,23.9,15.4,1.80
2016-05-04,23.0,16.0,6.20
2016-05-05,25.3,16.2,6.30
2016-05-06,25.5,16.0,9.10
2016-05-07,23.3,16.8,6.80
2016-05-08,24.5,15.9,4.20
2016-05-09,25.4,16.5,17.50
2016-05-10,19.9,16.3,56.60
