latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.4094903,-76.4563,967.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2016-06-16,26.0,17.6,0.00
2016-06-17,25.7,16.3,0.10
2016-06-18,25.7,16.9,1.50
2016-06-19,24.8,17.2,0.10
2016-06-20,24.7,18.7,2.10
2016-06-21,24.7,17.3,0.00
2016-06-22,25.9,17.4,0.20
2016-06-23,25.5,17.2,9.30
2016-06-24,24.3,17.5,13.10
2016-06-25,25.3,16.6,3.60
2016-06-26,26.4,16.9,0.00
2016-06-27,27.9,16.6,3.00
2016-06-28,27.2,18.1,4.70
2016-06-29,26.6,17.9,0.00
2016-06-30,26.1,18.5,0.00
2016-07-01,24.7,19.4,1.20
2016-07-02,24.7,19.1,4.60
2016-07-03,25.1,18.5,1.80
2016-07-04,24.7,18.4,9.50
2016-07-05,24.7,18.9,7.50
2016-07-06,26.4,16.1,0.00
2016-07-07,27.5,16.6,0.00
2016-07-08,26.4,18.9,0.00
2016-07-09,27.3,16.3,0.00
2016-07-10,25.6,18.3,0.00
2016-07-11,24.9,16.3,0.00
2016-07-12,25.0,17.2,1.40
2016-07-13,24.5,16.0,2.30
2016-07-14,24.9,16.3,3.60
2016-07-15,23.7,18.2,17.70
2016-07-16,23.7,18.4,14.10
2016-07-17,25.3,17.9,1.70
2016-07-18,24.7,16.3,2.60
2016-07-19,24.4,17.8,1.40
2016-07-20,25.4,17.2,2.70
2016-07-21,25.0,16.5,0.20
2016-07-22,24.7,16.2,3.60
2016-07-23,25.0,14.7,2.80
2016-07-24,24.3,17.2,9.90
2016-07-25,24.6,19.1,3.80
2016-07-26,26.9,16.3,0.20
2016-07-27,26.9,18.0,0.50
2016-07-28,25.9,18.2,0.20
2016-07-29,24.3,17.8,0.00
2016-07-30,25.3,16.6,0.30
2016-07-31,26.0,16.7,0.10
2016-08-01,26.7,15.8,0.20
2016-08-02,26.2,16.8,0.00
2016-08-03,25.4,18.4,0.40
2016-08-04,25.4,17.1,0.00
2016-08-05,26.8,16.8,0.00
2016-08-06,28.1,16.4,0.00
2016-08-07,27.0,17.9,9.50
2016-08-08,26.6,18.0,2.10
2016-08-09,25.4,19.4,5.20
2016-08-10,24.7,18.5,3.00
2016-08-11,25.2,16.6,1.30
2016-08-12,25.4,15.1,1.10
2016-08-13,25.3,16.6,0.00
2016-08-14,25.3,15.7,0.00
2016-08-15,25.9,15.8,1.00
2016-08-16,25.8,16.1,1.30
2016-08-17,26.7,16.9,0.20
2016-08-18,25.9,18.6,1.90
2016-08-19,25.5,18.2,2.90
2016-08-20,26.9,15.2,0.30
2016-08-21,27.8,15.2,0.00
2016-08-22,26.2,16.7,0.00
2016-08-23,27.2,18.0,0.00
2016-08-24,25.7,16.6,0.10
2016-08-25,25.8,15.7,7.00
2016-08-26,23.7,18.4,21.60
2016-08-27,25.1,17.1,3.40
2016-08-28,25.9,16.6,9.50
2016-08-29,27.2,18.7,15.10
2016-08-30,23.5,18.8,11.50
2016-08-31,25.2,17.0,2.60
2016-09-01,23.4,18.3,23.00
2016-09-02,24.2,17.2,3.50
2016-09-03,26.2,14.8,14.70
2016-09-04,24.3,18.6,0.60
2016-09-05,25.3,18.0,0.10
2016-09-06,25.4,16.3,1.10
2016-09-07,24.8,16.9,11.90
2016-09-08,26.4,15.0,1.60
2016-09-09,26.0,17.6,10.20
2016-09-10,25.3,17.7,3.00
2016-09-11,23.5,17.8,10.60
2016-09-12,24.3,16.8,5.60
2016-09-13,23.9,17.7,10.20
2016-09-14,23.6,18.6,6.40
2016-09-15,25.1,19.0,4.00
2016-09-16,25.2,17.4,0.60
2016-09-17,25.7,14.6,0.00
2016-09-18,24.5,17.7,2.60
2016-09-19,25.5,16.6,0.40
2016-09-20,25.0,17.9,0.00
2016-09-21,23.4,16.4,3.50
2016-09-22,24.3,17.2,2.20
2016-09-23,25.3,16.8,1.30
2016-09-24,24.6,16.8,1.30
2016-09-25,24.8,15.8,5.00
2016-09-26,25.5,16.3,1.00
2016-09-27,24.4,17.7,2.70
2016-09-28,25.5,14.1,1.80
2016-09-29,24.5,17.3,13.10
2016-09-30,22.7,19.7,51.30
2016-10-01,22.8,18.0,72.50
2016-10-02,24.4,18.9,16.80
2016-10-03,25.3,19.3,3.30
2016-10-04,23.0,19.1,14.30
2016-10-05,25.1,19.9,5.30
2016-10-06,23.8,18.6,10.90
2016-10-07,22.7,18.3,12.70
2016-10-08,24.3,18.2,10.50
2016-10-09,23.1,19.1,36.40
2016-10-10,24.9,18.7,11.50
2016-10-11,24.2,18.3,2.30
2016-10-12,24.8,18.4,0.30
2016-10-13,25.5,16.3,1.40
2016-10-14,25.7,18.3,3.30
2016-10-15,25.2,19.7,1.10
2016-10-16,24.7,18.2,4.60
2016-10-17,25.2,19.5,7.10
2016-10-18,21.8,18.9,47.90
2016-10-19,25.5,15.8,0.30
2016-10-20,24.8,17.0,2.90
2016-10-21,25.9,15.1,1.30
2016-10-22,23.2,18.0,51.10
2016-10-23,23.6,18.3,37.00
2016-10-24,24.7,18.9,34.70
2016-10-25,21.5,18.3,43.20
2016-10-26,22.8,18.3,8.70
2016-10-27,25.0,17.9,20.80
2016-10-28,25.1,18.6,46.20
2016-10-29,22.5,18.0,30.10
2016-10-30,24.7,18.3,10.60
2016-10-31,22.7,18.8,19.00
2016-11-01,21.8,18.3,30.00
2016-11-02,24.2,18.7,15.00
2016-11-03,24.5,18.8,1.70
2016-11-04,26.9,19.7,3.10
2016-11-05,25.5,18.6,0.00
2016-11-06,24.1,17.3,0.30
2016-11-07,24.0,19.0,3.40
2016-11-08,25.0,19.0,9.00
2016-11-09,24.7,19.8,36.00
2016-11-10,23.1,19.4,11.20
2016-11-11,23.1,19.0,3.90
2016-11-12,23.6,19.4,2.30
